L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/11/2021 - 19:32:00: [OFFICIAL] ADMIN Mr.Heineken seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 19:32:00: [OFFICIAL] ADMIN Mr.Heineken seteaza cvar mp_timelimit = 0 .
L 01/11/2021 - 19:32:09: [OFFICIAL] ADMIN Mr.Heineken seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 19:32:10: [OFFICIAL] ADMIN Mr.Heineken seteaza cvar mp_timelimit = 0 .
L 01/11/2021 - 20:04:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/11/2021 - 20:04:49: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 0 .
L 01/11/2021 - 20:04:49: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_unlag = 1 .
L 01/11/2021 - 20:04:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.1 .
L 01/11/2021 - 20:04:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 0.5 .
L 01/11/2021 - 20:04:51: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1 .
L 01/11/2021 - 20:04:52: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_maxunlag = 1.5 .
L 01/11/2021 - 20:04:54: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 300 .
L 01/11/2021 - 20:04:54: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/11/2021 - 20:04:55: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/11/2021 - 21:09:19: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/11/2021 - 21:09:19: [OFFICIAL] ADMIN Osiris seteaza cvar mp_timelimit = 35 .
L 01/11/2021 - 21:13:08: [OFFICIAL] ADMIN blioshele seteaza cvar mp_autoteambalance = 0 .
L 01/11/2021 - 23:08:50: [OFFICIAL] ADMIN Osiris seteaza cvar mp_autoteambalance = 1 .
L 01/12/2021 - 11:23:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 11:23:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/12/2021 - 12:05:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 12:05:46: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/12/2021 - 14:35:01: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 14:35:01: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/12/2021 - 14:35:01: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 25 .
L 01/12/2021 - 14:35:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/12/2021 - 14:35:02: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 0 .
L 01/12/2021 - 14:35:05: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_autoteambalance = 1 .
L 01/12/2021 - 15:15:24: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
